sample(compound name),M1D,F2D,F3D,F1D,M3D,M2D,M1P,M2P,F1P,M3P,F3P,F2P,,,,,,,,,,,,,,,,,,,,,,,,火山图,,,,聚类图,,
Label,D,D,D,D,D,D,P,P,P,P,P,P,D,P,FC,P-Value,,,groupA,groupB,groupAname,groupBname,type,,,,,,,,,,,FC,,meta,logFC,P-Value,,meta,D,P
Carnitine ,2.612364418,2.524261781,2.52939941,2.572597414,2.430154951,2.534861073,2.653528113,2.587018631,2.722427512,2.621071021,2.688128111,2.831847896,15.20363905,16.10402128,0.944089602,0.006043371,,,Cystamine ,1.18017625,1.191008285,1.214214955,1.053191959,1.003752095,1.272077327,1.075237265,0.996581346,0.928321845,1.00195666,0.949345121,1.074471518,,,0.944089602,,Carnitine ,-0.083004305,0.006043371,,Carnitine ,3.969862901,-0.076960933
Phenylalanine ,2.746398455,2.732422004,2.986894068,2.887248683,2.8680543,2.851131022,2.910437929,2.947184992,2.882904701,2.845786857,3.082135353,2.935264374,17.07214853,17.60371421,0.969803777,0.112842847,,,Histidine ,3.14624012,3.098203595,3.192611634,3.159041517,3.126446195,3.210884972,3.303973353,3.31046077,3.239247175,3.30700944,3.270904865,3.342984783,,,0.969803777,,Phenylalanine ,-0.044235222,0.112842847,,Phenylalanine ,10.89070287,0.068607625
1/3-Methylhistidine ,1.719119452,1.512918598,1.74930834,1.900723773,1.6165323,1.768489945,1.968246129,1.898400177,2.130243608,1.937744271,1.989636398,2.009569595,10.26709241,11.93384018,0.860334331,0.001375849,,,Tryptamine ,1.745034757,1.480240799,1.700240094,1.67471481,1.311087814,1.438201019,1.891876739,1.753835035,1.814603476,1.757094414,2.045915854,1.998511865,,,0.860334331,,1/3-Methylhistidine ,-0.217030686,0.001375849,,1/3-Methylhistidine ,6.661856464,-0.215654837
Arginine ,3.085537283,2.764395789,3.135075324,2.97254597,2.807670353,2.887843748,3.453297973,3.35702884,3.364578403,3.34155333,3.558042315,3.419285355,17.65306847,20.49378622,0.861386387,4.62503E-05,,,Carnitine ,2.612364418,2.524261781,2.52939941,2.572597414,2.430154951,2.534861073,2.653528113,2.587018631,2.722427512,2.621071021,2.688128111,2.831847896,,,0.861386387,,Arginine ,-0.215267571,4.62503E-05,,Arginine ,9.002433415,-0.21522132
Cysteinyl-Glycine ,0.643506195,0.488717923,0.326475254,0.692610446,0.539840744,0.593439116,0.852375179,0.784995547,1.012404162,0.756502974,1.054002515,1.205121019,3.284589678,5.665401396,0.579762924,0.00123539,,,Phenylalanine ,2.746398455,2.732422004,2.986894068,2.887248683,2.8680543,2.851131022,2.910437929,2.947184992,2.882904701,2.845786857,3.082135353,2.935264374,,,0.579762924,,Cysteinyl-Glycine ,-0.78646502,0.00123539,,Cysteinyl-Glycine ,9.442949508,-0.785229629
Tyrosine ,2.32103081,2.039110995,2.354874285,2.155676327,2.423576903,2.572773566,2.697823963,2.671997646,2.285448721,2.585469895,2.38789546,2.211303031,13.86704289,14.83993872,0.934440711,0.18796958,,,1/3-Methylhistidine ,1.719119452,1.512918598,1.74930834,1.900723773,1.6165323,1.768489945,1.968246129,1.898400177,2.130243608,1.937744271,1.989636398,2.009569595,,,0.934440711,,Tyrosine ,-0.097824965,0.18796958,,Tyrosine ,6.871390975,0.090144615
Sorbitol ,1.019603215,1.173883159,1.0961022,1.005853962,1.201080744,1.240925728,1.2427593,1.22111679,0.900204415,1.193608635,1.013871899,0.945845277,6.737449008,6.517406316,1.03376231,0.628008129,,,Arginine ,3.085537283,2.764395789,3.135075324,2.97254597,2.807670353,2.887843748,3.453297973,3.35702884,3.364578403,3.34155333,3.558042315,3.419285355,,,1.03376231,,Sorbitol ,0.047904509,0.628008129,,Sorbitol ,11.35264331,0.675912638
213C-Tyrosine ,4.295263049,4.49912287,4.365370787,4.332761083,4.471762463,4.400831522,4.103752985,4.222824434,4.210989478,4.297089639,4.107694517,4.129836095,26.36511177,25.07218715,1.051568083,0.000770023,,,Cysteinyl-Glycine ,0.643506195,0.488717923,0.326475254,0.692610446,0.539840744,0.593439116,0.852375179,0.784995547,1.012404162,0.756502974,1.054002515,1.205121019,,,1.051568083,,213C-Tyrosine ,0.072542259,0.000770023,,213C-Tyrosine ,4.067194591,0.073312282
Acetylcarnitine ,2.976539585,2.910952563,2.925356117,3.028064426,2.769806319,2.80258019,2.893918228,2.93952232,3.082138764,2.839245236,2.984958087,2.981591221,17.4132992,17.72137386,0.982615645,0.356286906,,,Tyrosine ,2.32103081,2.039110995,2.354874285,2.155676327,2.423576903,2.572773566,2.697823963,2.671997646,2.285448721,2.585469895,2.38789546,2.211303031,,,0.982615645,,Acetylcarnitine ,-0.025300885,0.356286906,ok,Acetylcarnitine ,8.167284031,0.33098602
Tryptophan ,2.012091207,1.796367106,2.076088391,2.06961251,1.894556907,1.93344903,2.126628961,2.037042164,2.175539329,2.020217664,2.301777003,2.147724321,11.78216515,12.80892944,0.91983996,0.018910972,,,Sorbitol ,1.019603215,1.173883159,1.0961022,1.005853962,1.201080744,1.240925728,1.2427593,1.22111679,0.900204415,1.193608635,1.013871899,0.945845277,,,0.91983996,,Tryptophan ,-0.120545221,0.018910972,,Tryptophan ,4.073165771,-0.101634249
